交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2017/1/3,TXO,201703,11400,賣權,0,0,0,0,0,2140,0,2110,2180,0,0,
2017/1/3,TXO,201703,11600,買權,0,0,0,0,0,0.4,162,0.1,0.6,2,0.6,
2017/1/3,TXO,201703,11600,賣權,0,0,0,0,0,2340,0,2310,2380,0,0,
2017/1/3,TXO,201706,7000,買權,0,0,0,0,0,2220,0,2090,2370,0,0,
2017/1/3,TXO,201706,7000,賣權,17,19,16,17,485,17,2708,16,16.5,57,16,
2017/1/3,TXO,201706,7200,買權,0,0,0,0,0,2030,0,1900,2170,0,0,
2017/1/3,TXO,201706,7200,賣權,21,24.5,20,20,64,20,3652,20,21.5,96,20,
2017/1/3,TXO,201706,7400,買權,0,0,0,0,0,1830,0,1700,1980,0,0,
2017/1/3,TXO,201706,7400,賣權,28.5,28.5,25,25,38,25,1496,15.5,73,115,25,
2017/1/3,TXO,201706,7600,買權,0,0,0,0,0,1640,0,1510,1780,0,0,
2017/1/3,TXO,201706,7600,賣權,35,35.5,33,35.5,73,35.5,1254,20.5,36,140,33,
2017/1/3,TXO,201706,7800,買權,0,0,0,0,0,1450,10,1320,1580,1420,1400,
2017/1/3,TXO,201706,7800,賣權,51,51,42.5,42.5,62,42.5,1305,41,47,173,42.5,
2017/1/3,TXO,201706,8000,買權,0,0,0,0,0,1270,6,1140,1380,985,955,
2017/1/3,TXO,201706,8000,賣權,61,64,56,56,97,56,1484,54,57,212,56,
