Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,openposition,change_openposition
2002/5/6,5827,5827,5535,5615,5937.2,6148.7,6174,6029.32,14821,13455,12015,-41.64,35.22,-76.86,0.18,0.31,0.14,0.27,11813,-806
2002/5/7,5541,5710,5520,5662,5835.2,6073.9,6151.15,6026.68,14862,14135,12745,-73.69,13.44,-87.13,0.18,0.26,0.2,0.3,11774,-39
2002/5/8,5749,5760,5650,5750,5765.2,6014.4,6136.6,6025.6,14136,14764,13162,-90.86,-7.42,-83.44,0.21,0.24,0.31,0.35,12262,488
2002/5/9,5880,5889,5741,5758,5740.2,5948.2,6123.25,6024.38,15933,15017,13527,-98.58,-25.65,-72.92,0.24,0.24,0.32,0.36,11790,-472
2002/5/10,5740,5858,5653,5855,5728,5901.9,6114.4,6024.33,17718,15494,13909,-102,-40.92,-61.08,0.31,0.26,0.44,0.42,9862,-1928
2002/5/13,5758,5807,5738,5796,5764.2,5850.7,6096.3,6023.63,9311,14392,13924,-105.19,-53.78,-51.42,0.34,0.29,0.39,0.39,9658,-204
2002/5/14,5820,5842,5750,5774,5786.6,5810.9,6076.05,6021.8,6048,12629,13382,-106.44,-64.31,-42.13,0.37,0.31,0.37,0.38,7716,-1942
2002/5/15,5820,5950,5810,5891,5814.8,5790,6059.05,6020.5,6527,11107,12936,-98.18,-71.08,-27.1,0.53,0.39,0.52,0.46,2857,-4859
2002/5/16,5876,5888,5742,5742,5811.6,5775.9,6023.65,6016.93,14373,10795,12906,-99.13,-76.69,-22.44,0.53,0.43,0.38,0.39,9225,6368
2002/5/17,5795,5847,5762,5805,5801.6,5764.8,5995.9,6016.6,16087,10469,12982,-96.65,-80.69,-15.97,0.57,0.48,0.46,0.43,10553,1328
2002/5/20,5751,5753,5511,5518,5746,5755.1,5951.9,6013.82,17176,12042,13217,-111.94,-86.94,-25,0.39,0.45,0.28,0.33,10299,-254
2002/5/21,5501,5530,5382,5410,5673.2,5729.9,5901.9,6009.72,16996,14232,13431,-133.96,-96.34,-37.62,0.27,0.39,0.23,0.3,10419,120
2002/5/22,5411,5524,5375,5503,5595.6,5705.2,5859.8,6007.77,17880,16502,13805,-146.24,-106.32,-39.92,0.26,0.35,0.34,0.35,10602,183
2002/5/23,5525,5550,5480,5504,5548,5679.8,5814,6007.47,14536,16535,13665,-151.54,-115.37,-36.18,0.25,0.31,0.34,0.35,11190,588
2002/5/24,5525,5705,5525,5698,5526.6,5664.1,5783,6010.28,16556,16629,13549,-142.25,-120.74,-21.5,0.35,0.33,0.53,0.46,10195,-995
2002/5/27,5621,5719,5621,5716,5566.2,5656.1,5753.4,6010.55,9903,15174,13608,-130.43,-122.68,-7.75,0.43,0.36,0.54,0.46,10406,211
2002/5/28,5750,5754,5593,5650,5614.2,5643.7,5727.3,6010.55,16936,15162,14697,-122.17,-122.58,0.4,0.47,0.4,0.48,0.44,10711,305
