Date,Open,High,Low,Close,EMA5,EMA10,RSV9,DIF7-12,MACD5,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2003/12/30,5870,5909,5847,5890,5861.98,5856.72,0.88,0.7,-3.68,4.37,0.66,0.56,0.6,0.52,38488,-4278
2003/12/31,5899,5917,5883,5903,5875.65,5865.13,0.92,4.66,-0.9,5.56,0.75,0.62,0.63,0.54,38442,-46
2004/1/2,5900,6072,5897,6056,5935.77,5899.84,0.94,18.41,5.54,12.87,0.81,0.68,0.82,0.67,37498,-944
2004/1/5,6074,6154,6060,6144,6005.18,5944.23,0.97,36.56,15.88,20.68,0.86,0.74,0.86,0.72,38817,1319
2004/1/6,6172,6178,6128,6160,6056.79,5983.46,0.95,49.64,27.13,22.51,0.89,0.79,0.87,0.72,37759,-1058
2004/1/7,6163,6252,6160,6174,6095.86,6018.1,0.82,59.26,37.84,21.42,0.87,0.82,0.88,0.73,39454,1695
2004/1/8,6188,6225,6175,6211,6134.24,6053.18,0.9,64.57,46.75,17.82,0.88,0.84,0.9,0.75,40165,711
2004/1/9,6278,6299,6242,6270,6179.49,6092.6,0.94,71.69,55.06,16.62,0.9,0.86,0.92,0.78,37680,-2485
2004/1/12,6258,6280,6241,6275,6211.33,6125.76,0.95,73.21,61.11,12.09,0.92,0.88,0.92,0.78,37201,-479
2004/1/13,6288,6289,6221,6254,6225.55,6149.08,0.89,70.08,64.1,5.98,0.91,0.89,0.83,0.75,33727,-3474
2004/1/14,6240,6345,6225,6325,6258.7,6181.06,0.96,70.26,66.15,4.1,0.92,0.9,0.88,0.78,27288,-6439
2004/1/15,6312,6334,6288,6300,6272.47,6202.69,0.84,67.71,66.67,1.04,0.9,0.9,0.78,0.74,22903,-4385
2004/1/16,6329,6344,6285,6285,6276.65,6217.65,0.72,62.94,65.43,-2.49,0.84,0.88,0.73,0.72,17414,-5489
2004/1/27,6325,6387,6325,6370,6307.76,6245.35,0.93,63.58,64.81,-1.24,0.87,0.87,0.82,0.76,10450,-6964
2004/1/28,6370,6398,6351,6367,6327.51,6267.47,0.86,62.28,63.97,-1.69,0.87,0.87,0.81,0.76,39626,29176
2004/1/29,6332,6344,6302,6331,6328.67,6279.02,0.62,54.85,60.93,-6.08,0.78,0.84,0.67,0.7,39663,37
2004/1/30,6330,6387,6325,6381,6346.12,6297.56,0.9,52.02,57.96,-5.94,0.82,0.84,0.74,0.73,38574,-1089
2004/2/2,6375,6381,6323,6330,6340.74,6303.46,0.62,45.58,53.83,-8.25,0.75,0.81,0.59,0.66,41424,2850
2004/2/3,6300,6300,6230,6259,6313.5,6295.38,0.2,32.14,46.6,-14.46,0.57,0.73,0.44,0.57,42317,893
2004/2/4,6245,6280,6235,6235,6287.33,6284.4,0.03,20.86,38.02,-17.16,0.39,0.62,0.4,0.54,42536,219
2004/2/5,6212,6313,6212,6285,6286.55,6284.51,0.39,15.55,30.53,-14.98,0.39,0.54,0.51,0.58,40143,-2393
2004/2/6,6280,6384,6273,6365,6312.7,6299.14,0.82,18.6,26.55,-7.96,0.53,0.54,0.64,0.65,39745,-398
2004/2/9,6408,6472,6402,6470,6365.13,6330.21,0.99,30.08,27.73,2.35,0.69,0.59,0.75,0.71,37553,-2192
2004/2/10,6466,6488,6435,6475,6401.76,6356.53,0.95,37.63,31.03,6.6,0.78,0.65,0.75,0.71,37787,234
2004/2/11,6487,6488,6437,6458,6420.5,6374.98,0.89,40.2,34.09,6.12,0.81,0.71,0.71,0.69,37150,-637
2004/2/12,6488,6596,6372,6440,6427,6386.8,0.59,40.46,36.21,4.25,0.74,0.72,0.65,0.66,30274,-6876
2004/2/13,6435,6569,6420,6565,6473,6419.2,0.92,45.58,39.33,6.25,0.8,0.74,0.79,0.73,26145,-4129
2004/2/16,6550,6590,6510,6571,6505.67,6446.8,0.93,50.03,42.9,7.13,0.85,0.78,0.79,0.74,23125,-3020
2004/2/17,6580,6620,6551,6615,6542.11,6477.38,0.99,54.76,46.85,7.9,0.89,0.82,0.82,0.76,18003,-5122
2004/2/18,6618,6654,6590,6615,6566.41,6502.41,0.9,57.4,50.37,7.03,0.89,0.84,0.82,0.76,12138,-5865
2004/2/19,6650,6719,6636,6716,6616.27,6541.24,0.99,64.4,55.04,9.35,0.93,0.87,0.89,0.8,28869,16731
2004/2/20,6685,6713,6672,6696,6642.85,6569.38,0.93,66.12,58.74,7.38,0.93,0.89,0.82,0.77,31736,2867
2004/2/23,6698,6708,6631,6703,6662.9,6593.67,0.95,63.9,60.46,3.44,0.94,0.91,0.82,0.78,32806,1070
2004/2/24,6675,6693,6635,6643,6656.27,6602.64,0.78,56.89,59.27,-2.38,0.89,0.9,0.62,0.68,36338,3532
2004/2/25,6645,6708,6645,6685,6665.84,6617.62,0.89,52.87,57.13,-4.27,0.89,0.89,0.69,0.71,37294,956
2004/2/26,6707,6746,6701,6735,6688.9,6638.96,0.95,52.95,55.74,-2.79,0.91,0.9,0.75,0.74,37037,-257
2004/2/27,6749,6805,6727,6802,6726.6,6668.6,0.99,56.22,55.9,0.32,0.93,0.91,0.81,0.77,36230,-807
2004/3/1,6830,6978,6822,6968,6807.06,6723.04,0.97,70.57,60.79,9.78,0.95,0.92,0.89,0.83,39776,3546
2004/3/2,6999,7073,6973,7055,6889.71,6783.4,0.96,87.05,69.54,17.51,0.95,0.93,0.91,0.85,43822,4046
2004/3/3,7043,7060,7011,7012,6930.47,6824.96,0.86,92.69,77.26,15.44,0.92,0.93,0.81,0.8,50669,6847
2004/3/4,7020,7312,7020,7150,7003.65,6884.06,0.76,105.62,86.71,18.91,0.87,0.91,0.87,0.83,53460,2791
2004/3/5,7185,7245,7051,7075,7027.43,6918.77,0.65,105.29,92.91,12.39,0.8,0.87,0.73,0.75,54740,1280
2004/3/8,7110,7135,6956,6979,7011.29,6929.72,0.5,91.49,92.43,-0.94,0.7,0.81,0.58,0.66,57770,3030
2004/3/9,6940,7056,6915,7051,7024.53,6951.77,0.57,79.79,88.22,-8.43,0.66,0.76,0.65,0.69,60871,3101
2004/3/10,7020,7049,6904,6930,6993.02,6947.82,0.35,63.04,79.83,-16.78,0.55,0.69,0.49,0.6,58989,-1882
2004/3/11,6883,6967,6835,6922,6969.34,6943.12,0.2,45.98,68.54,-22.57,0.44,0.61,0.49,0.59,56735,-2254
2004/3/12,6800,6862,6768,6807,6915.23,6918.37,0.07,23.72,53.6,-29.89,0.32,0.51,0.37,0.51,52465,-4270
2004/3/15,6865,6917,6560,6563,6797.82,6853.76,0,-6.73,33.49,-40.22,0.21,0.41,0.23,0.39,41146,-11319
2004/3/16,6506,6637,6506,6555,6716.88,6799.44,0.06,-34.21,10.92,-45.13,0.16,0.33,0.23,0.38,30561,-10585
2004/3/17,6565,6640,6562,6565,6666.25,6756.81,0.08,-48.43,-8.86,-39.57,0.13,0.26,0.24,0.39,28822,-1739
2004/3/18,6676,6845,6652,6845,6725.84,6772.85,0.54,-35.04,-17.59,-17.45,0.27,0.26,0.56,0.55,41736,12914
2004/3/19,6828,6865,6786,6830,6760.56,6783.24,0.59,-22.22,-19.13,-3.09,0.38,0.3,0.55,0.54,45893,4157
2004/3/22,6352,6352,6352,6352,6624.37,6704.83,0,-58.97,-32.41,-26.56,0.25,0.28,0.27,0.36,46297,404
