date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2014/4/25,put,8945.81,8951.06,8774.12,8945.81,9117.5,8290.88,0.982902395941
2014/4/28,put,8680.14,8825.93,8809.71,8680.14,8550.57,8161.31,0.967541582198
2014/4/29,put,8845.6,8884.48,8872.11,8845.6,8819.09,8134.8,0.964398762315
2014/4/30,put,8885.7,8890.09,8791.44,8885.7,8979.96,8229.06,0.975573496461
2014/5/2,put,8846.86,8875.9,8867.32,8846.86,8826.4,8208.6,0.97314791763
2014/5/5,put,8895.87,8911.08,8870.43,8895.87,8921.31,8234.04,0.976163886617
2014/5/6,put,8888.45,8927.39,8912.39,8888.45,8864.51,8210.1,0.97332574599
2014/5/7,put,8903.72,8911.03,8893.22,8903.72,8914.22,8220.6,0.97457054451
2014/5/8,put,8925.21,8941.46,8930.9,8925.21,8919.52,8214.91,0.973895982265
2014/5/9,put,8943.14,8945.63,8889.69,8943.14,8996.59,8268.36,0.980232599495
2014/5/12,put,8893.72,8898.31,8808.61,8893.72,8978.83,8353.47,0.990322580645
2014/5/13,put,8865.61,8886.66,8817.94,8865.61,8913.28,8401.14,0.995973965928
2014/5/14,put,8842.05,8875.16,8875.16,8842.05,8808.94,8368.03,0.99204870126
2014/5/15,put,8852.92,8880.65,8880.65,8852.92,8825.19,8340.3,0.988761247644
2014/5/16,put,8857.12,8896.72,8888.45,8857.12,8825.79,8308.97,0.985047005963
2014/5/19,put,8901.54,8912.35,8899.9,8901.54,8903.18,8310.61,0.985241431637
2014/5/20,put,8922.08,8930.79,8887.79,8922.08,8956.37,8344.9,0.989306587948
2014/5/21,put,8894.16,8905.04,8862.42,8894.16,8925.9,8376.64,0.993069436047
2014/5/22,put,8899.82,8969.63,8969.63,8899.82,8830.01,8306.83,0.984793304169
2014/5/23,put,8960.79,9008.22,9008.22,8960.79,8913.36,8259.4,0.979170371424
2014/5/26,put,9040.49,9053.75,9036.12,9040.49,9044.86,8263.77,0.979688444713
2014/5/27,put,9045.08,9059.19,9055.29,9045.08,9034.87,8253.56,0.978478026342
2014/5/28,put,9072.04,9125.14,9121.71,9072.04,9022.37,8203.89,0.972589536579
2014/5/29,put,9123.46,9131.66,9109.0,9123.46,9137.92,8218.35,0.97430380197
2014/5/30,put,9130.66,9139.57,9075.91,9130.66,9185.41,8273.1,0.980794537113
2014/6/3,put,9106.61,9128.34,9123.46,9106.61,9089.76,8256.25,0.978796931868
2014/6/4,put,9135.01,9140.55,9119.96,9135.01,9150.06,8271.3,0.980581143081
