Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2011/6/29,8540.35,8598.22,8499.24,8573.38,8530.5,8569.24,8753.47,8842.47,1071,950.02,994.93,-99.86,-75.66,-24.2,0.2646,0.1852,0.445,0.4036,58053,-2843
2011/6/30,8582.08,8652.59,8576.65,8652.59,8547.56,8569.05,8732.98,8841.59,1032.56,968.23,990.62,-91.35,-78.79,-12.56,0.4664,0.2789,0.5644,0.4675,57621,-432
2011/7/1,8684.39,8744.2,8659.57,8739.82,8588.96,8579.43,8720.4,8839.73,1098.87,998.49,988.36,-76.68,-78.37,1.69,0.6396,0.3991,0.6608,0.5281,55279,-2342
2011/7/4,8801.51,8808.47,8772.33,8774.72,8643.87,8603.83,8706.83,8837.61,1086.21,1030.72,1001.64,-59.4,-74.58,15.18,0.7297,0.5093,0.6934,0.5505,55162,-117
2011/7/5,8777.22,8794.14,8743.45,8784.44,8704.99,8622.51,8693.19,8835.77,1029.1,1063.55,1001.98,-45.65,-68.79,23.14,0.7985,0.6057,0.7029,0.5569,55368,206
2011/7/6,8790.94,8842.17,8768.35,8824.44,8755.2,8642.85,8684.04,8834.84,1145.57,1078.46,1014.24,-31.31,-61.3,29.99,0.8512,0.6875,0.7425,0.5834,55570,202
2011/7/7,8795,8795.88,8757.47,8773.42,8779.37,8663.47,8672.66,8835.52,1082.73,1088.5,1028.37,-22.89,-53.61,30.72,0.8447,0.7399,0.6168,0.5385,55642,72
2011/7/8,8782.72,8839.14,8740,8749.55,8781.31,8685.14,8668.25,8835.01,1331.87,1135.1,1066.79,-16.47,-46.19,29.71,0.8115,0.7638,0.5632,0.5182,56506,864
2011/7/11,8749.55,8749.55,8633.55,8665.85,8759.54,8701.71,8665.89,8832.73,988.48,1115.55,1073.14,-18.51,-40.65,22.14,0.703,0.7435,0.4126,0.4528,55694,-812
2011/7/12,8581.43,8595.07,8479.9,8491.01,8700.85,8702.92,8648.98,8828.95,1152.58,1140.25,1101.9,-33.01,-39.12,6.12,0.4789,0.6553,0.2469,0.3516,57594,1900
2011/7/13,8480.26,8539.18,8452.86,8488.06,8633.58,8694.39,8631.81,8825.17,1177.12,1146.56,1112.51,-45.76,-40.45,-5.31,0.3494,0.5533,0.245,0.3502,57655,61
