date,dateline,strike_price,callorput,open,high,close
2016/1/5,201602,7100,call,0,0,0
2016/1/5,201602,7100,put,34.5,38.5,38.5
2016/1/5,201602,7200,call,0,0,0
2016/1/5,201602,7200,put,45,50,45.5
2016/1/5,201602,7300,call,0,0,0
2016/1/5,201602,7300,put,48.5,59,56
2016/1/5,201602,7400,call,0,0,0
2016/1/5,201602,7400,put,71,75,70
2016/1/5,201602,7500,call,640,640,610
2016/1/5,201602,7500,put,88,91,87
2016/1/5,201602,7600,call,550,555,520
2016/1/5,201602,7600,put,101,110,110
2016/1/5,201602,7700,call,488,488,488
2016/1/5,201602,7700,put,128,134,129
2016/1/5,201602,7800,call,421,421,363
2016/1/5,201602,7800,put,120,162,156
2016/1/5,201602,7900,call,344,344,316
2016/1/5,201602,7900,put,180,194,191
2016/1/5,201602,8000,call,280,285,243
2016/1/5,201602,8000,put,221,235,232
2016/1/5,201602,8100,call,215,228,186
2016/1/5,201602,8100,put,257,281,273
2016/1/5,201602,8200,call,165,176,140
2016/1/5,201602,8200,put,298,334,325
2016/1/5,201602,8300,call,117,129,98
2016/1/5,201602,8300,put,352,397,397
2016/1/5,201602,8400,call,83,90,67
2016/1/5,201602,8400,put,424,465,457
2016/1/5,201602,8500,call,54,60,44
2016/1/5,201602,8500,put,471,520,520
2016/1/5,201602,8600,call,32,38,28.5
2016/1/5,201602,8600,put,0,0,0
2016/1/5,201602,8700,call,23,23,16.5
2016/1/5,201602,8700,put,0,0,0
2016/1/5,201602,8800,call,10,13.5,9.6
2016/1/5,201602,8800,put,0,0,0
2016/1/5,201602,8900,call,7.2,7.2,5.8
2016/1/5,201602,8900,put,0,0,0
2016/1/5,201602,9000,call,3,4,3.7
2016/1/5,201602,9000,put,0,0,0
2016/1/5,201602,9100,call,2.5,8,2.5
2016/1/5,201602,9100,put,0,0,0
2016/1/5,201602,9200,call,2.1,2.4,2.1
2016/1/5,201602,9200,put,0,0,0
2016/1/5,201602,9300,call,1.9,2,2
2016/1/5,201602,9300,put,0,0,0
2016/1/5,201602,9400,call,1.2,2,2
2016/1/5,201602,9400,put,0,0,0
2016/1/5,201602,9500,call,0,0,0
2016/1/5,201602,9500,put,0,0,0
2016/1/5,201602,9600,call,1,1,1
2016/1/5,201602,9600,put,0,0,0
2016/1/5,201602,9700,call,0,0,0
2016/1/5,201602,9700,put,0,0,0
2016/1/5,201602,9800,call,0,0,0
2016/1/5,201602,9800,put,0,0,0
2016/1/5,201603,5800,call,0,0,0
2016/1/5,201603,5800,put,9,11.5,10
2016/1/5,201603,5900,call,0,0,0
2016/1/5,201603,5900,put,10.5,10.5,10.5
2016/1/5,201603,6000,call,0,0,0
2016/1/5,201603,6000,put,14,15.5,13
