Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2016/9/15,18024.91,18250.11,18015.49,18212.48,18144.9,18317.99,18404.52,18312.67,99.6,106,90.92,-70.57,-21.9,-48.67,0.3131 ,0.3715 ,0.4489 ,0.4370 
2014/9/30,17070.45,17145.1,17017.11,17042.9,17076.63,17131.43,17099.65,16950.93,102,84.25,110,34.7,54.6,-19.9,0.3388 ,0.4188 ,0.4486 ,0.4861 
2015/4/21,18034.23,18109.7,17929.63,17949.59,18005.84,17996.18,17902.63,17891.33,95.24,108,102,28.94,18.96,9.98,0.5896 ,0.6652 ,0.4828 ,0.5017 
2016/5/31,17891.5,17899.24,17724.03,17787.2,17809.25,17653.21,17682.38,17653.37,147,91.04,93.29,13.95,-7.51,21.46,0.7920 ,0.6644 ,0.5705 ,0.5362 
2015/11/9,17900.78,17900.78,17667.78,17730.48,17857.99,17789.9,17531.93,16862.88,121,104,109,276.55,275.14,1.4,0.6914 ,0.8036 ,0.5031 ,0.6099 
2013/8/22,14908.6,14989.12,14899,14963.74,14991.3,15170.25,15359.49,15247.14,103,113,103,-102.82,-30.31,-72.52,0.0806 ,0.1073 ,0.2282 ,0.2852 
2013/11/27,16073.37,16107.99,16057.34,16097.33,16063.49,15999.92,15843.8,15476.93,65.74,85.46,94.15,167.56,156.88,10.68,0.8983 ,0.8949 ,0.7897 ,0.7209 
2013/12/19,16162.51,16194.72,16121.54,16179.08,15972.45,15946.41,15975.13,15631.42,94.99,102,99.36,60.39,62.52,-2.12,0.7100 ,0.5196 ,0.7320 ,0.6500 
2013/6/6,14955.45,15040.62,14844.22,15040.62,15109.67,15218.27,15229.2,14851.08,140,155,139,60.36,118.21,-57.85,0.2239 ,0.2882 ,0.3776 ,0.4522 
2014/3/10,16453.1,16453.1,16334.2,16418.68,16409.87,16318.98,16187.35,16148.4,68.22,78.99,90.1,107.42,71.75,35.67,0.8326 ,0.8194 ,0.6533 ,0.6213 
2016/11/30,19135.64,19225.29,19123.38,19123.58,19115.68,19019.88,18730.34,18378.09,165,91.66,91.13,234.35,203.79,30.56,0.8602 ,0.9123 ,0.7748 ,0.7475 
2015/3/13,17889.05,17889.05,17629.89,17749.31,17787.72,17952,18032.03,17787.47,114,107,97.74,-0.92,61.98,-62.9,0.2416 ,0.3114 ,0.3996 ,0.4405 
2013/9/20,15635.09,15654.77,15448.09,15451.09,15557.82,15404.66,15144.01,15274.8,380,170,134,107.13,32.1,75.03,0.8193 ,0.8733 ,0.5653 ,0.5963 
2015/3/26,17716.27,17759.51,17579.27,17678.23,17930.32,17926.26,17958.3,17810.79,118,149,128,-5.47,20.88,-26.35,0.4068 ,0.5428 ,0.3370 ,0.4178 
2014/5/23,16544.49,16613.07,16544.49,16606.27,16513.72,16553.16,16537.64,16406.34,61.34,70.93,79.81,32.02,41.23,-9.22,0.5142 ,0.4806 ,0.5941 ,0.5579 
2013/11/14,15806.22,15884.99,15798.74,15876.22,15798.68,15720.72,15618.66,15307.17,124,91.33,93.47,134.28,120.05,14.23,0.9027 ,0.8328 ,0.7209 ,0.6695 
2017/1/5,19924.56,19948.6,19811.12,19899.29,19861.12,19887.9,19842.69,18977.7,270,267,235,201.75,247.23,-45.48,0.6083 ,0.5569 ,0.5710 ,0.6489 
2014/5/21,16376.17,16544.6,16376.17,16533.06,16471.47,16551.65,16523.32,16395.03,76.73,92,82.81,27.93,47.46,-19.53,0.3969 ,0.4780 ,0.5195 ,0.5206 
2015/6/2,18033.33,18091.87,17925.33,18011.94,18070.42,18150.92,18122.61,17997.41,77.6,93.42,90.72,14.42,42.93,-28.51,0.2737 ,0.4003 ,0.3570 ,0.4457 
2017/2/23,20817.21,20840.7,20746.41,20810.32,20714.55,20554.29,20280.86,19917.57,302,329,334,236.94,183.95,52.99,0.9670 ,0.9542 ,0.9366 ,0.8366 
2015/10/15,16944.86,17144.42,16933.57,17141.75,17072.95,16936.68,16599.78,16843.83,123,104,112,135.67,47.69,87.97,0.9074 ,0.8873 ,0.6978 ,0.6321 
2015/4/23,18031.9,18133.03,17966.77,18058.69,17981.56,18019.76,17920.99,17908.51,101,106,105,33.6,23.58,10.02,0.6608 ,0.6543 ,0.5674 ,0.5424 
2014/6/2,16716.85,16756.64,16682.07,16743.63,16693.64,16603.68,16579.21,16436.35,57.56,72.32,71.63,63.28,49.7,13.58,0.9001 ,0.7866 ,0.6984 ,0.6179 
2014/8/26,17079.57,17153.8,17079.57,17106.7,17040.68,16899,16721.09,16861.59,50.71,59.93,68.1,60.4,-2.78,63.18,0.9079 ,0.8771 ,0.7941 ,0.6656 
2015/1/28,17402.91,17484.41,17189,17191.37,17548.77,17507.27,17603.47,17659.63,116,110,111,-57.56,-30.59,-26.98,0.3184 ,0.4414 ,0.2815 ,0.3709 
2014/6/11,16943.16,16943.16,16821.85,16843.88,16898.66,16811.27,16677.1,16502.49,61.87,68.91,69.62,107.96,85.73,22.23,0.8284 ,0.8925 ,0.5739 ,0.6072 
2015/1/12,17742.05,17793.88,17571.58,17640.84,17648.45,17742.13,17697.96,17505.69,92.51,98.75,87.05,17.76,45.66,-27.9,0.5086 ,0.4987 ,0.4494 ,0.4755 
2013/10/22,15394.22,15518.1,15394.22,15467.66,15401,15264.04,15186.83,15224.36,107,112,103,44.77,1.6,43.18,0.9289 ,0.8604 ,0.7100 ,0.6140 
