Date,Open,High,Low,Close,BBandMA2,Di2add,Di2minus,ADX2,RSI6,RSI12,three_openposition,openposition,SMA5,SMA10,Volume,MA5,MA10,DIF12,MACD9,OSC,K,D,AR10,RSV5
2014/3/26,8708,8722,8682,8712,8685,62.84,12.49,59.33,0.62,0.58,12895,76,8622.4,8666.9,77869,86119,76429,25.66,33.71,-8.04,0.54,0.46,0.84,0.95
2014/3/27,8705,8756,8695,8754,8733,59.58,6.75,69.48,0.68,0.61,18542,898,8659.6,8668.1,86325,84379,76603,31.02,33.17,-2.15,0.69,0.54,0.82,0.99
2014/3/28,8754,8776,8729,8736,8745,52.52,3.95,77.74,0.63,0.59,14834,-717,8692.2,8672.5,78831,86895,78635,35.22,33.58,1.64,0.74,0.6,0.75,0.84
2014/3/31,8779,8794,8734,8790,8763,40.94,1.92,84.39,0.71,0.63,17699,4446,8730,8681.6,76765,82308,78575,40.72,35.01,5.72,0.82,0.68,0.76,0.98
2014/4/1,8780,8833,8773,8828,8809,53.14,0.95,90.44,0.75,0.66,21926,3451,8764,8691.6,77021,79362,79713,47.64,37.54,10.11,0.88,0.74,0.98,0.97
2014/4/2,8850,8888,8841,8855,8841.5,72.54,0.47,94.58,0.78,0.68,20165,3933,8792.6,8707.5,73667,78522,82321,56.05,41.24,14.81,0.89,0.79,1.24,0.83
2014/4/3,8858,8878,8845,8867,8861,46.68,0.3,96.64,0.79,0.69,22895,4335,8815.2,8737.4,58189,72895,78637,62.36,45.46,16.89,0.91,0.83,1.73,0.87
2014/4/7,8811,8861,8803,8858,8862.5,19.59,38.21,64.42,0.75,0.67,23521,1359,8839.6,8765.9,63927,69914,78404,65.05,49.38,15.67,0.91,0.85,2.13,0.81
2014/4/8,8853,8887,8837,8877,8867.5,35,20.04,45.81,0.78,0.69,24663,2585,8857,8793.5,79196,70400,76354,68.38,53.18,15.2,0.92,0.88,2.14,0.9
2014/4/9,8886,8903,8878,8896,8886.5,43.78,13.41,49.46,0.81,0.7,26170,4239,8870.6,8817.3,52603,65516,72439,72.1,56.96,15.13,0.93,0.9,1.88,0.93
2014/4/10,8929,8939,8866,8907,8901.5,47.38,4.69,65.72,0.82,0.71,26583,6880,8881,8836.8,86825,68148,73335,75.11,60.59,14.52,0.91,0.9,1.52,0.76
2014/4/11,8850,8891,8840,8869,8888,21.6,23.25,34.7,0.63,0.64,26094,3875,8881.4,8848.3,95782,75667,74281,73.62,63.2,10.42,0.82,0.87,1.47,0.49
2014/4/14,8870,8885,8853,8856,8862.5,14.21,15.3,19.19,0.57,0.62,24640,2325,8881,8860.3,65746,76030,72972,71.23,64.8,6.43,0.72,0.82,1.49,0.19
2014/4/15,8861,8902,8859,8896,8876,25.49,7.72,36.36,0.68,0.66,28625,3182,8884.8,8870.9,72126,74616,72508,70.61,65.97,4.64,0.71,0.78,2.09,0.57
2014/4/16,8910,8956,8887,8954,8925,57.04,3.1,63.02,0.77,0.71,17929,-3726,8896.4,8883.5,49182,73932,69724,73.26,67.43,5.84,0.8,0.79,1.85,0.98
2014/4/17,8884,8910,8872,8895,8924.5,23.56,12.02,47.73,0.57,0.61,20891,-1354,8894,8887.5,77255,72018,70083,70.94,68.13,2.81,0.73,0.77,1.74,0.47
2014/4/18,8961,8972,8916,8917,8906,53.43,5.72,64.2,0.61,0.63,18872,-1292,8903.6,8892.5,63285,65519,70593,71.3,68.76,2.54,0.69,0.74,1.43,0.54
2014/4/21,8917,8926,8903,8922,8919.5,40.68,17.84,51.62,0.62,0.64,21171,99,8916.8,8898.9,36842,59738,67884,69.79,68.97,0.82,0.66,0.72,1.19,0.56
2014/4/22,8925,8962,8917,8950,8936,59.66,9.22,62.42,0.68,0.66,23324,-542,8927.6,8906.2,60169,57347,65982,69.93,69.16,0.77,0.72,0.72,1.25,0.78
2014/4/23,8970,8980,8910,8922,8936,39.28,3.69,72.63,0.57,0.61,19845,-1365,8921.2,8908.8,80288,63568,68750,68.34,69,-0.65,0.68,0.7,0.97,0.46
2014/4/24,8928,8942,8915,8935,8928.5,26.85,2.52,77.73,0.61,0.63,21250,-1458,8929.2,8911.6,54152,58947,65483,66.18,68.43,-2.25,0.67,0.69,1.23,0.42
2014/4/25,8925,8928,8743,8750,8842.5,4.88,73.76,82.66,0.25,0.4,10642,-4292,8895.8,8899.7,174633,81217,73368,52.65,65.28,-12.63,0.45,0.61,0.56,0.03
2014/4/28,8698,8835,8690,8818,8784,2.18,53.19,87.39,0.41,0.48,15555,-6682,8875,8895.9,129874,99823,79781,41.24,60.47,-19.23,0.45,0.56,0.91,0.44
2014/4/29,8828,8855,8809,8838,8828,12.91,39.38,69.01,0.45,0.5,14870,-5938,8852.6,8890.1,91179,106025,81686,35.41,55.46,-20.05,0.47,0.53,0.83,0.51
2014/4/30,8850,8857,8750,8755,8796.5,5.84,48,73.65,0.33,0.42,13829,-4342,8819.2,8870.2,122688,114505,89037,25.98,49.56,-23.58,0.39,0.48,0.61,0.26
2014/5/2,8768,8843,8761,8840,8797.5,3.08,25.27,75.97,0.49,0.51,19147,-3935,8800.2,8864.7,90635,121802,90375,21.64,43.98,-22.34,0.43,0.46,0.72,0.63
2014/5/5,8864,8888,8802,8828,8834,26.75,13.12,55.08,0.47,0.5,15848,-1913,8815.8,8855.8,94208,105717,93467,19.22,39.03,-19.81,0.45,0.46,0.73,0.7
2014/5/6,8849,8889,8813,8881,8854.5,15.07,7.09,45.53,0.56,0.54,16347,-2318,8828.4,8851.7,97864,99315,99569,19.46,35.11,-15.65,0.52,0.48,0.76,0.94
2014/5/7,8845,8861,8809,8839,8860,8.06,6.38,28.58,0.48,0.5,16527,-1076,8828.6,8840.6,104464,101972,103999,17.11,31.51,-14.4,0.54,0.5,0.68,0.64
2014/5/8,8860,8887,8836,8880,8859.5,25.11,3.84,51.01,0.56,0.54,18983,121,8853.6,8836.4,88751,95184,104845,17.77,28.77,-10.99,0.63,0.54,0.76,0.93
2014/5/9,8888,8889,8833,8842,8861,13.41,4.55,50.18,0.48,0.5,13964,1386,8854,8827.1,77008,92459,107130,16.55,26.32,-9.77,0.67,0.59,0.67,0.46
2014/5/12,8842,8850,8790,8821,8831.5,6.71,38.08,60.11,0.44,0.48,13663,862,8852.6,8834.2,88270,91271,98494,12.93,23.64,-10.71,0.62,0.6,0.91,0.31
2014/5/13,8855,8875,8821,8829,8825,25.45,20.05,35.99,0.46,0.49,14750,-1743,8842.2,8835.3,83445,88388,93851,11.39,21.19,-9.81,0.6,0.6,0.58,0.39
2014/5/14,8855,8885,8830,8883,8856,21.69,10.12,36.19,0.58,0.54,18752,-2934,8851,8839.8,85759,84647,93309,12.58,19.47,-6.89,0.72,0.64,0.58,0.94
2014/5/15,8868,8887,8857,8877,8880,16.48,6.61,39.47,0.57,0.54,17169,-902,8850.4,8852,59657,78828,87006,13.71,18.32,-4.61,0.77,0.68,0.76,0.88
2014/5/16,8842,8883,8816,8876,8876.5,6.47,39.78,55.76,0.56,0.54,17543,28,8857.2,8855.6,88877,81202,86830,13.5,17.35,-3.86,0.8,0.72,0.63,0.89
2014/5/19,8876,8901,8869,8887,8881.5,24.75,25.17,28.3,0.59,0.55,21269,3241,8870.4,8861.5,70962,77740,84506,15.03,16.89,-1.86,0.83,0.76,0.74,0.84
2014/5/20,8902,8926,8890,8896,8891.5,43.34,13.28,40.69,0.62,0.56,23283,1460,8883.8,8863,74046,75860,82124,17.34,16.98,0.36,0.81,0.78,0.75,0.73
2014/5/21,8892,8909,8850,8860,8878,17.84,45.35,42.12,0.47,0.51,19862,-3920,8879.2,8865.1,54036,69516,77081,16.38,16.86,-0.48,0.71,0.75,0.74,0.4
2014/5/22,8873,8960,8866,8957,8908.5,39.93,15.15,43.55,0.7,0.61,27259,-1925,8895.2,8872.8,100620,77708,78268,20.65,17.62,3.03,0.8,0.77,1,0.98
2014/5/23,8971,9014,8966,9011,8984,63.58,8.61,59.85,0.77,0.66,26756,-2863,8922.2,8889.7,75182,74969,78085,28.98,19.89,9.09,0.86,0.8,1.42,0.98
2014/5/26,9020,9049,9009,9040,9025.5,72.6,5.36,73.05,0.8,0.68,26390,-1914,8952.8,8911.6,51900,71157,74448,37.89,23.49,14.4,0.9,0.83,1.86,0.95
2014/5/27,9047,9058,9025,9056,9048,55.21,3.3,80.88,0.81,0.69,26268,-2216,8984.8,8934.3,52031,66754,71307,45.57,27.91,17.67,0.93,0.86,1.94,0.99
2014/5/28,9062,9144,9055,9135,9095.5,83.14,1.08,89.16,0.87,0.74,28761,-2949,9039.8,8959.5,94218,74790,72153,56.54,33.63,22.91,0.94,0.89,2.52,0.97
2014/5/29,9132,9149,9111,9114,9124.5,57.57,0.68,93.41,0.79,0.71,24570,-1372,9071.2,8983.2,69424,68551,73130,64.87,39.88,24.99,0.92,0.9,2.35,0.81
2014/5/30,9121,9130,9086,9089,9101.5,31.18,26.41,50.85,0.7,0.67,23327,-2384,9086.8,9004.5,76393,68793,71881,68.78,45.66,23.12,0.88,0.89,2.04,0.57
2014/6/3,9112,9133,9061,9106,9097.5,12.47,31.4,46.99,0.73,0.68,21689,-1085,9100,9026.4,83254,75064,73110,71.3,50.79,20.51,0.87,0.89,1.6,0.65
2014/6/4,9118,9124,9097,9102,9104,8.6,21.65,45.06,0.71,0.68,21593,-2281,9109.2,9047,53898,75437,71096,72.84,55.2,17.64,0.86,0.88,1.45,0.5
2014/6/5,9117,9118,9074,9116,9109,4.28,37.05,62.18,0.74,0.69,22948,770,9105.4,9072.6,67500,70094,72442,73.19,58.8,14.4,0.85,0.87,1.37,0.63
2014/6/6,9138,9158,9120,9125,9120.5,48.83,18.9,53.18,0.75,0.7,22367,1760,9107.6,9089.4,59766,68162,68357,74.71,61.98,12.73,0.82,0.85,1.02,0.66
2014/6/9,9140,9155,9129,9144,9134.5,28.73,11.12,48.68,0.79,0.71,24836,2876,9118.6,9102.7,45298,61943,65368,75.93,64.77,11.16,0.85,0.85,0.88,0.86
2014/6/10,9159,9202,9155,9185,9164.5,60.85,4.29,67.75,0.85,0.75,25970,3068,9134.4,9117.2,72200,59732,67398,79.11,67.64,11.47,0.86,0.85,0.97,0.87
2014/6/11,9194,9212,9183,9210,9197.5,50.82,2.66,78.91,0.87,0.76,26511,5625,9156,9132.6,43499,57653,66545,82.45,70.6,11.85,0.9,0.87,1.05,0.99
2014/6/12,9195,9215,9181,9202,9206,31.02,1.4,85.12,0.82,0.75,26970,7054,9173.2,9139.3,46433,53439,61767,83.83,73.25,10.59,0.91,0.88,0.74,0.86
2014/6/13,9170,9199,9156,9195,9198.5,13.63,31.08,62.08,0.77,0.73,25739,6993,9187.2,9147.4,69155,55317,61740,82.86,75.17,7.69,0.89,0.89,0.82,0.77
2014/6/16,9180,9214,9175,9200,9197.5,25.73,15.94,42.79,0.78,0.73,26333,7659,9198.4,9158.5,54947,57247,59595,82.03,76.54,5.49,0.89,0.89,1.08,0.75
2014/6/17,9207,9248,9203,9242,9221,50.33,7.25,58.81,0.85,0.77,24239,5565,9209.8,9172.1,66123,56031,57882,83.36,77.91,5.46,0.92,0.9,1.57,0.93
2014/6/18,9241,9307,9208,9302,9272,56.74,2.23,75.63,0.91,0.81,10737,-2355,9228.2,9192.1,64896,60311,58982,87.12,79.75,7.37,0.94,0.91,1.83,0.97
2014/6/19,9187,9237,9181,9226,9264,21.08,14.85,46.47,0.59,0.65,11976,-1098,9233,9203.1,74612,65947,59693,84.11,80.62,3.49,0.81,0.88,2.8,0.46
2014/6/20,9227,9230,9178,9179,9202.5,13.68,11.67,27.21,0.46,0.58,8833,761,9229.8,9208.5,74727,67061,61189,78.72,80.24,-1.52,0.59,0.78,2.11,0.03
2014/6/23,9179,9206,9151,9167,9173,7.86,27.61,41.46,0.44,0.56,9835,-880,9223.2,9210.8,82798,72631,64939,72.1,78.61,-6.51,0.43,0.66,1.97,0.1
2014/6/24,9174,9198,9165,9173,9170,5.2,18.27,48.58,0.46,0.56,8423,-306,9209.4,9209.6,65966,72600,64316,66.45,76.18,-9.73,0.33,0.55,1.8,0.14
2014/6/25,9146,9170,9137,9156,9164.5,2.99,43.54,67.86,0.41,0.54,9375,-815,9180.2,9204.2,63400,72301,66306,59.48,72.84,-13.36,0.26,0.45,1.86,0.19
2014/6/26,9181,9237,9176,9230,9193,55.33,14.96,62.65,0.62,0.63,13002,-215,9181,9207,75765,72531,69239,58.4,69.95,-11.55,0.35,0.42,2.19,0.93
2014/6/27,9231,9244,9205,9206,9218,40.85,9.16,63,0.54,0.59,11775,321,9186.4,9208.1,58349,69256,68158,56.65,67.29,-10.64,0.37,0.4,1.94,0.64
2014/6/30,9220,9307,9218,9290,9248,55.22,3.05,76.27,0.7,0.67,14560,-851,9211,9217.1,77543,68205,70418,59.5,65.73,-6.23,0.55,0.45,2.29,0.9
2014/7/1,9299,9401,9289,9380,9335,72.35,1.23,86.46,0.79,0.73,11803,-352,9252.4,9230.9,101041,75220,73910,67.93,66.17,1.76,0.67,0.53,2.55,0.92
2014/7/2,9404,9488,9310,9400,9390,56.98,0.42,92.49,0.8,0.74,9135,2789,9301.2,9240.7,178185,98177,85239,76.72,68.28,8.44,0.7,0.58,1.97,0.72
