date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2012/1/3,201201,TXO,7500,call,31,35.5,28,32.5,34440
2012/1/3,201201,TXO,7500,put,510,520,450,481,304
2012/1/3,201201,TXO,7600,call,19,21,17,19.5,27657
2012/1/3,201201,TXO,7600,put,595,595,535,535,605
2012/1/3,201201,TXO,7700,call,9.4,12,9.4,11,23161
2012/1/3,201201,TXO,7700,put,680,680,625,650,39
2012/1/3,201201,TXO,7800,call,6,6.5,5.4,6,28562
2012/1/3,201201,TXO,7800,put,775,775,735,735,23
2012/1/3,201201,TXO,7900,call,3.4,3.6,2.8,3.6,19402
2012/1/3,201201,TXO,7900,put,845,845,845,845,24
2012/1/3,201201,TXO,8000,call,2,2.2,1.4,2.1,18537
2012/1/3,201201,TXO,8000,put,945,945,925,925,33
2012/1/3,201201,TXO,8100,call,1,1.2,0.9,1.2,5760
2012/1/3,201201,TXO,8100,put,0,0,0,0,10
2012/1/3,201201,TXO,8200,call,0.7,0.7,0.6,0.7,6003
2012/1/3,201201,TXO,8200,put,0,0,0,0,8
2012/1/3,201201,TXO,8300,call,0.4,0.4,0.4,0.4,2158
2012/1/3,201201,TXO,8300,put,0,0,0,0,4
2012/1/3,201201,TXO,8400,call,0,0,0,0,1591
2012/1/3,201201,TXO,8400,put,0,0,0,0,0
2012/1/3,201201,TXO,8500,call,0,0,0,0,1761
2012/1/3,201201,TXO,8500,put,0,0,0,0,0
2012/1/3,201201,TXO,8600,call,0,0,0,0,912
2012/1/3,201201,TXO,8600,put,0,0,0,0,0
2012/1/3,201201,TXO,8700,call,0.2,0.2,0.2,0.2,923
2012/1/3,201201,TXO,8700,put,0,0,0,0,1
2012/1/3,201201,TXO,8800,call,0,0,0,0,2139
2012/1/3,201201,TXO,8800,put,0,0,0,0,1
2012/1/3,201202,TXO,5600,call,0,0,0,0,0
2012/1/3,201202,TXO,5600,put,14.5,15,13,14.5,6427
2012/1/3,201202,TXO,5700,call,0,0,0,0,0
2012/1/3,201202,TXO,5700,put,16.5,18.5,16,18.5,2819
2012/1/3,201202,TXO,5800,call,0,0,0,0,0
2012/1/3,201202,TXO,5800,put,22,23,20.5,23,1761
2012/1/3,201202,TXO,5900,call,0,0,0,0,0
2012/1/3,201202,TXO,5900,put,27.5,28,26,28,764
2012/1/3,201202,TXO,6000,call,0,0,0,0,2
2012/1/3,201202,TXO,6000,put,33,36,32,35,1628
2012/1/3,201202,TXO,6100,call,0,0,0,0,0
2012/1/3,201202,TXO,6100,put,41.5,43,39.5,43,1322
2012/1/3,201202,TXO,6200,call,0,0,0,0,3
2012/1/3,201202,TXO,6200,put,53,54,48,53,2042
2012/1/3,201202,TXO,6300,call,0,0,0,0,6
2012/1/3,201202,TXO,6300,put,65,66,58,63,2113
2012/1/3,201202,TXO,6400,call,740,740,740,740,24
2012/1/3,201202,TXO,6400,put,78,81,71,78,2887
2012/1/3,201202,TXO,6500,call,655,655,655,655,85
2012/1/3,201202,TXO,6500,put,98,98,86,93,2693
2012/1/3,201202,TXO,6600,call,575,575,575,575,262
2012/1/3,201202,TXO,6600,put,118,120,104,112,2513
2012/1/3,201202,TXO,6700,call,470,500,468,475,551
2012/1/3,201202,TXO,6700,put,144,145,125,138,2126
2012/1/3,201202,TXO,6800,call,377,425,377,406,665
2012/1/3,201202,TXO,6800,put,175,175,152,167,2115
2012/1/3,201202,TXO,6900,call,324,355,305,335,1020
2012/1/3,201202,TXO,6900,put,211,212,182,193,1612
