Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9
2011/3/16,8410,8411,8264,8305,8449.6,8596.7,8625.35,8805.5,95911,163312,131019,-101.16,-66.58,-34.58,0.4,0.48,0.24,0.32,0.36
2011/3/17,8151,8274,8129,8257,8376.4,8548.5,8602.25,8797.5,148021,164738,133582,-119.16,-77.09,-42.06,0.36,0.44,0.22,0.3,0.3
2011/3/18,8292,8345,8270,8321,8328.8,8504.5,8587.05,8790.73,104784,159797,135689,-125.12,-86.7,-38.42,0.37,0.42,0.32,0.35,0.38
2011/3/21,8359,8445,8328,8391,8306.2,8471.5,8566.15,8784.37,110694,147587,135928,-122.43,-93.85,-28.58,0.4,0.41,0.42,0.4,0.47
2011/3/22,8431,8479,8414,8417,8338.2,8439.2,8546.55,8777.85,91070,110096,137247,-115.49,-98.17,-17.31,0.45,0.42,0.46,0.42,0.53
2011/3/23,8400,8510,8393,8451,8367.4,8408.5,8538.1,8772.65,116480,114210,138761,-107.18,-99.97,-7.2,0.56,0.47,0.51,0.44,0.78
2011/3/24,8502,8548,8480,8527,8421.4,8398.9,8538.4,8767.35,97198,104045,134392,-93.93,-98.76,4.84,0.68,0.54,0.6,0.49,0.92
2011/3/25,8588,8626,8548,8577,8472.6,8400.7,8540.7,8762.77,98085,102705,131251,-77.56,-94.52,16.96,0.76,0.61,0.66,0.52,0.92
2011/3/28,8585,8585,8495,8520,8498.4,8402.3,8535.95,8756.47,95747,99716,123651,-68.01,-89.22,21.21,0.77,0.66,0.56,0.48,0.79
2011/3/29,8507,8575,8474,8573,8529.6,8433.9,8530.1,8751.37,99784,101459,105777,-58.25,-83.03,24.77,0.81,0.71,0.62,0.52,0.89
2011/3/30,8607,8650,8582,8592,8557.8,8462.6,8529.65,8746.5,94916,97146,105678,-45.54,-75.53,29.99,0.82,0.75,0.64,0.53,0.85
2011/3/31,8604,8645,8557,8640,8580.4,8500.9,8524.7,8742.55,110857,99878,101962,-33.74,-67.17,33.43,0.87,0.79,0.7,0.56,0.97
2011/4/1,8640,8689,8630,8684,8601.8,8537.2,8520.85,8739.42,77930,95847,99276,-20.03,-57.74,37.72,0.91,0.83,0.74,0.59,0.98
2011/4/6,8743,8863,8727,8839,8665.6,8582,8526.75,8738.32,117163,100130,99923,2.53,-45.69,48.22,0.92,0.86,0.84,0.67,0.95
2011/4/7,8864,8901,8823,8896,8730.2,8629.9,8534.55,8736.8,87439,97661,99560,25.13,-31.52,56.65,0.94,0.89,0.86,0.69,0.99
2011/4/8,8939,8939,8850,8868,8785.4,8671.6,8540.05,8734.27,112534,101185,99165,42.72,-16.68,59.4,0.91,0.9,0.79,0.66,0.85
2011/4/11,8868,8882,8820,8859,8829.2,8704.8,8551.85,8732.32,86640,96341,98110,53.93,-2.56,56.48,0.88,0.89,0.77,0.66,0.83
2011/4/12,8820,8822,8703,8706,8833.6,8717.7,8559.2,8730.1,144950,109745,102796,52.46,8.45,44.01,0.76,0.85,0.48,0.53,0.5
2011/4/13,8728,8810,8696,8807,8827.2,8746.4,8574.35,8729.08,102126,106738,103434,54.36,17.63,36.73,0.72,0.81,0.6,0.59,0.65
2011/4/14,8780,8852,8750,8796,8807.2,8768.7,8601.3,8729.8,124702,114190,105926,56.7,25.44,31.26,0.69,0.77,0.58,0.58,0.63
2011/4/15,8786,8820,8680,8705,8774.6,8780,8621.3,8728.43,113065,114297,107741,52.23,30.8,21.43,0.54,0.69,0.45,0.51,0.24
2011/4/18,8692,8760,8674,8708,8744.4,8786.8,8643.85,8724.57,98340,116637,106489,46.93,34.03,12.91,0.4,0.6,0.46,0.52,0.13
2011/4/19,8657,8671,8585,8627,8728.6,8781.1,8659.15,8718.93,118378,111322,110534,35.47,34.32,1.15,0.31,0.5,0.36,0.46,0.12
2011/4/20,8701,8800,8695,8792,8725.6,8776.4,8679.2,8715.98,65270,103951,105344,37.43,34.94,2.49,0.4,0.47,0.58,0.56,0.58
2011/4/21,8882,9004,8879,8989,8764.2,8785.7,8707.8,8716.32,119466,102904,108547,54.14,38.78,15.36,0.59,0.51,0.72,0.65,0.96
2011/4/22,8989,9008,8973,8991,8821.4,8798,8734.8,8717.5,55333,91357,102827,68.64,44.75,23.89,0.71,0.58,0.72,0.65,0.96
2011/4/25,9003,9050,8942,8974,8874.6,8809.5,8757.15,8717.52,106660,93021,104829,78.77,51.55,27.21,0.75,0.63,0.69,0.64,0.84
2011/4/26,8914,8982,8870,8968,8942.8,8835.7,8776.7,8715.6,139105,97167,104245,82.77,57.8,24.97,0.78,0.68,0.68,0.63,0.82
2011/4/27,9051,9078,9032,9059,8996.2,8860.9,8803.65,8716.47,94820,103077,103514,93.74,64.98,28.75,0.84,0.73,0.76,0.68,0.96
2011/4/28,9098,9099,9005,9014,9001.2,8882.7,8825.7,8718.27,107009,100585,101745,99.35,71.86,27.49,0.84,0.77,0.67,0.64,0.83
2011/4/29,9014,9049,8930,9024,9007.8,8914.6,8847.3,8719.6,142891,118097,104727,100.52,77.59,22.93,0.84,0.79,0.68,0.64,0.85
2011/5/3,9036,9069,8896,8933,8999.6,8937.1,8861.95,8719.03,126976,122160,107591,96.38,81.35,15.03,0.76,0.78,0.5,0.56,0.59
2011/5/4,8908,8959,8860,8936,8993.2,8968,8874.55,8717.12,117998,117939,107553,89.24,82.93,6.32,0.61,0.72,0.51,0.57,0.32
2011/5/5,8903,9058,8885,9050,8991.4,8993.8,8885.1,8716.23,132009,125377,114227,89.66,84.27,5.39,0.67,0.71,0.66,0.63,0.8
