Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9,Open1,High1,Low1,Close1,SMA51,SMA101,SMA201,SMA601,Volume1,MA51,MA101,DIF1,ACD91,OSC1,K1,D1,RSI61,RSI121,RSV91,Open2,High2,Low2,Close2,SMA52,SMA102,SMA202,SMA602,Volume2,MA52,MA102,DIF2,ACD92,OSC2,K2,D2,RSI62,RSI122,RSV92
2006/9/18,6789,6900,6730,6895,6675,6675,6610.85,6523.13,44150,41962,39917,50.1,41.03,9.07,0.61,0.52,0.75,0.67,0.99,201,206,201,205.5,197.5,196.95,190.65,193.47,29530,13704,14705,1.81,0.57,1.24,0.66,0.58,0.75,0.64,0.97,59.5,60.1,59.4,59.9,58.48,57.89,57.8,56.72,61233,43309,34601,0.43,0.31,0.12,0.73,0.57,0.75,0.65,0.95
2006/9/19,6901,6923,6862,6876,6732.6,6688.8,6627.7,6529.15,28810,40367,40908,64.18,45.66,18.52,0.7,0.58,0.72,0.66,0.89,206,206,203,203.5,199.6,197.45,191.72,193.56,13699,14404,14565,2.31,0.92,1.39,0.72,0.63,0.68,0.61,0.83,60.5,60.9,60.3,60.5,59.24,58.08,57.88,56.77,51128,47858,38225,0.59,0.36,0.23,0.79,0.64,0.79,0.67,0.91
2006/9/20,6850,6895,6820,6880,6779.8,6711.5,6645.95,6536.23,19392,38016,38576,73.24,51.17,22.06,0.77,0.64,0.72,0.66,0.9,203,206.5,201.5,206.5,201.7,198.5,193.05,193.78,14865,15276,14512,2.77,1.29,1.49,0.81,0.69,0.73,0.64,1,60,60.1,59.5,59.9,59.54,58.29,57.97,56.84,33680,45653,39108,0.65,0.42,0.23,0.79,0.69,0.67,0.62,0.79
2006/9/21,6900,6920,6816,6880,6840,6735.5,6664.2,6541.98,46723,35952,39530,79.92,56.92,23,0.81,0.7,0.72,0.66,0.9,210,211,203.5,204,203.5,199.5,194.2,193.93,14753,16135,14154,3.14,1.66,1.48,0.74,0.71,0.63,0.6,0.61,60.5,60.7,60,60.5,59.96,58.63,58.15,56.9,33815,44368,40174,0.74,0.49,0.26,0.83,0.74,0.72,0.65,0.91
2006/9/22,6846,6872,6830,6858,6877.8,6751.7,6682.65,6545.37,28471,33509,38713,82.69,62.08,20.61,0.82,0.74,0.67,0.64,0.84,203,205.5,201.5,205.5,205,200.4,195.45,194.03,6292,15828,13474,3.3,1.99,1.31,0.73,0.71,0.66,0.61,0.69,59.9,60.2,59.5,59.7,60.1,58.93,58.28,56.92,28447,41661,39974,0.75,0.54,0.21,0.8,0.76,0.58,0.58,0.74
2006/9/25,6843,6925,6821,6925,6883.8,6779.4,6708.8,6549.68,43446,33368,37665,87.47,67.15,20.31,0.88,0.79,0.74,0.67,1,204,206,201.5,205.5,205,201.25,196.82,194.12,7608,11443,12574,3.39,2.27,1.13,0.72,0.72,0.66,0.61,0.69,59.7,60,59.2,59.7,60.06,59.27,58.46,56.94,15970,32608,37958,0.74,0.58,0.16,0.75,0.76,0.58,0.58,0.64
2006/9/26,6915,6955,6887,6900,6888.6,6810.6,6731.85,6553.55,32795,34165,37266,91.13,71.95,19.18,0.88,0.82,0.67,0.65,0.88,206,207,203,204,205.1,202.35,198,194.12,6833,10070,12237,3.42,2.5,0.92,0.68,0.7,0.59,0.59,0.61,60.2,60.7,60.2,60.5,60.06,59.65,58.66,56.97,25915,27565,37712,0.79,0.62,0.17,0.79,0.77,0.67,0.63,0.88
2006/9/27,6954,6965,6917,6955,6903.6,6841.7,6751.45,6559.97,32825,36852,37434,95.96,76.75,19.2,0.91,0.85,0.74,0.68,0.98,205.5,206.5,202.5,203,204.4,203.05,198.93,194.17,13285,9754,12515,3.35,2.67,0.68,0.64,0.68,0.54,0.57,0.56,60.9,61,60.4,60.9,60.26,59.9,58.84,57.02,34994,27828,36741,0.84,0.66,0.18,0.85,0.79,0.71,0.65,0.96
2006/9/28,6960,6983,6843,6864,6900.4,6870.2,6763.6,6564.72,45437,36595,36274,93.89,80.18,13.71,0.78,0.83,0.54,0.58,0.53,203,205.5,200.5,201.5,203.9,203.7,199.72,194.22,17183,10240,13187,3.13,2.76,0.37,0.46,0.61,0.47,0.54,0.1,60.9,61.1,60.7,60.9,60.34,60.15,58.98,57.09,73393,35744,40056,0.88,0.71,0.17,0.86,0.82,0.71,0.65,0.89
2006/9/29,6880,6894,6847,6877,6904.2,6891,6775.15,6570.03,25305,35962,34735,90.03,82.15,7.88,0.64,0.77,0.56,0.59,0.37,201.5,203,200.5,201.5,203.1,204.05,200.25,194.24,8580,10698,13263,2.87,2.78,0.09,0.34,0.52,0.47,0.54,0.1,60.6,60.7,59.2,59.7,60.34,60.22,59.02,57.13,45844,39223,40442,0.82,0.73,0.09,0.66,0.77,0.47,0.54,0.26
2006/10/2,6870,6975,6860,6959,6911,6897.4,6786.2,6575.03,38959,35064,34216,91.13,83.95,7.18,0.72,0.75,0.67,0.64,0.86,203,206,202,206,203.2,204.1,200.53,194.32,11410,11458,11451,2.91,2.81,0.1,0.4,0.48,0.66,0.61,0.52,59.8,60.5,59.5,60.2,60.44,60.25,59.07,57.19,44256,44880,38744,0.78,0.74,0.04,0.62,0.72,0.55,0.57,0.53
